circle_color,answer_correct,need_action,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,intrpduction.started,intrpduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,intro_A.started,intro_A.stopped,focus.started,focus.stopped,black.started,black.stopped,text_A.started,text_A.stopped,feedback1.started,feedback1.stopped,intro_B.started,key_resp_5.started,intro_B.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,focus2.started,polygon_5.started,polygon_5.stopped,focus2.stopped,black2.started,text_5.started,text_5.stopped,black2.stopped,textB.started,polygon_2.started,key_resp_4.started,polygon_2.stopped,key_resp_4.stopped,textB.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,feedback2.started,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
red,j,1,0,8,8,6,,,,,2.4793478999999934,,,,,,,,,2.469142300000385,2.4692219000007753,2.469227900000078,2.4692972000002555,2.4693026000004465,2.469370400000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,0,9,9,4,,,,,2.4793478999999934,,,,,,,,,2.4694359000004624,2.46950840000045,2.4695142000000487,2.469580599999972,2.469585800000459,2.4696492000002763,,,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.4696671000001515,2.469733500000075,,,,,,,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4697400000004563,2.4793478999999934,3.183341100000689,space,0.7020137999998042,None,,,,,,,,,,,,,,,,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,,,,,0,0,0,7,3.2015361000003395,,,,,,,,,,,,,,,,,,,,,,,3.192801000000145,3.2015361000003395,6.195225800000117,6.189752700000099,6.189764600000672,6.195225800000117,6.5910492000002705,6.58555830000023,6.585567100000844,6.5910492000002705,6.5910492000002705,9.584168000000318,9.584168000000318,9.578451800000039,None,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,,,,,0,1,1,2,9.584168000000318,,,,,,,,,,,,,,,,,,,,,,,9.578663000000233,9.584168000000318,11.577332700000625,11.57156440000017,11.571577300000172,11.577332700000625,11.973138900000777,11.96745810000084,11.967467100000249,11.973138900000777,11.973138900000777,,,12.321926200000235,j,0.3444316999994044,None,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,,,,,0,2,2,5,12.327517500000795,,,,,,,,,,,,,,,,,,,,,,,12.322194300000774,12.327517500000795,14.320290900000145,14.314654200000405,14.314666900000702,14.320290900000145,14.716058100000737,14.710545800000546,14.710554900000716,14.716058100000737,14.716058100000737,17.70921400000043,17.70921400000043,17.703563800000666,None,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,,,,,0,3,3,4,17.70921400000043,,,,,,,,,,,,,,,,,,,,,,,17.703736400000707,17.70921400000043,19.702290100000027,19.696887800000695,19.69689970000036,19.702290100000027,20.098089800000707,20.092782400000033,20.09279340000012,20.098089800000707,20.098089800000707,,,20.405304900000374,j,0.3035370999996303,None,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,,,,,0,4,4,3,20.410733900000196,,,,,,,,,,,,,,,,,,,,,,,20.405517600000167,20.410733900000196,22.40370990000065,22.39810110000053,22.398113100000046,22.40370990000065,22.799501299999974,22.793886600000405,22.793896300000597,22.799501299999974,22.799501299999974,25.792500200000177,25.792500200000177,25.78734430000077,None,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,,,,,0,5,5,8,25.792500200000177,,,,,,,,,,,,,,,,,,,,,,,25.787519299999985,25.792500200000177,27.78561660000014,27.780104300000858,27.78011670000069,27.78561660000014,28.18140560000029,28.175824700000703,28.17583360000026,28.18140560000029,28.18140560000029,,,28.42617270000028,j,0.24053120000007766,None,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,,,,,0,6,6,0,28.43150230000083,,,,,,,,,,,,,,,,,,,,,,,28.42642539999997,28.43150230000083,30.424392900000385,30.418860500000847,30.418876800000362,30.424392900000385,30.8202553000001,30.814695200000642,30.814704000000347,30.8202553000001,30.8202553000001,,,31.620460699999967,j,0.7950451999995494,None,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
red,j,1,,,,,0,7,7,6,31.625782600000093,,,,,,,,,,,,,,,,,,,,,,,31.620666900000288,31.625782600000093,33.618840200000704,33.61345820000042,33.6134718000003,33.618840200000704,34.01470150000023,34.00933350000014,34.00934219999999,34.01470150000023,34.01470150000023,,,34.35665120000067,j,0.33677760000045964,None,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,,,,,0,8,8,9,34.36191990000043,,,,,,,,,,,,,,,,,,,,,,,34.356865700000526,34.36191990000043,38.354907700000695,38.34945660000085,38.34946900000068,38.354907700000695,38.750819100000626,38.74535230000038,38.745368200000485,38.750819100000626,38.750819100000626,41.74391860000014,41.74391860000014,41.738215800000035,None,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
blue,f,0,,,,,0,9,9,1,41.74391860000014,,,,,,,,,,,,,,,,,,,,,,,41.73837220000041,41.74391860000014,45.73695210000005,45.73125170000003,45.7312651000002,45.73695210000005,46.13275000000067,46.127192700000705,46.12720150000041,46.13275000000067,46.13275000000067,49.13195600000017,49.13195600000017,49.120283900000686,None,,,,,444218,001,2024-10-21_21h23.17.429,untitled,2024.1.5,None,2024-10-21 21h23.21.514242 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.120381100000486,49.13195600000017,,,,,,,,
